Egypt		1992	5.9	500
Turkey		1992	6.2	2000
India		1991	6.1	1000
CostaRica	1991	7.5	80
CIS		1991	7.2	100
Afghanistan	1991	6.8	1300
Philippines	1990	7.7	1653
Iran		1990	7.7	40000
Peru		1990	5.8	90
Romania		1990	6.6	70
Philippines	1990	7.7	1600
USA		1989	6.9	100
CIS		1988	7.0	25000
Mexico		1985	8.1	7200
Italy		1980	7.2	4500
Algeria		1980	7.3	5000
Iran		1978	7.7	25000
China		1976	8.2	242000
Guatemala	1976	7.5	22778
Pakistan	1974	6.3	5200
Nicaragua	1972	6.2	5000
Iran		1972	6.9	5000
Peru		1970	7.7	66000

